pH,salt,oc,N,P,k,s,zn,b,Fe,Mn,cu,output
acidic,low,medium,low,medium,very_high,high,low,high,medium,low,low,no
alkaline,high,very_low,high,high,very_high,very_low,very_high,very_low,very_low,high,very_high,yes
neutral,very_low,high,very_low,high,very_high,very_high,medium,very_high,high,very_low,medium,yes
acidic,very_high,low,very_high,very_low,very_low,high,very_low,high,low,very_high,very_low,yes
alkaline,medium,medium,medium,very_high,very_high,medium,very_low,medium,medium,medium,very_low,yes
acidic,very_low,high,very_low,high,very_high,high,low,high,high,very_low,low,yes
alkaline,very_low,very_low,very_low,high,very_high,very_low,very_high,very_low,very_low,very_low,very_high,yes
acidic,very_high,high,very_high,high,very_high,high,low,high,high,very_high,low,yes
alkaline,very_high,medium,very_high,medium,very_low,very_low,high,very_low,medium,very_high,high,yes
acidic,very_low,very_low,very_low,very_low,very_high,high,low,high,very_low,very_low,low,yes
acidic,very_high,very_low,very_high,high,very_high,medium,very_high,medium,very_low,very_high,very_high,yes
neutral,medium,high,medium,high,medium,medium,medium,medium,high,medium,medium,no
acidic,very_low,very_high,very_low,low,very_high,medium,very_high,medium,very_high,very_low,very_high,yes
neutral,very_high,medium,very_high,medium,very_high,very_high,medium,very_high,medium,very_high,medium,yes
alkaline,high,medium,high,medium,very_low,very_low,high,very_low,medium,high,high,no
acidic,very_high,high,very_high,medium,very_high,medium,very_high,medium,high,very_high,very_high,yes
alkaline,low,very_high,low,very_high,low,very_low,low,very_low,very_high,low,low,yes
alkaline,high,high,high,medium,very_high,very_low,very_high,very_low,high,high,very_high,yes
alkaline,low,low,low,very_low,very_low,very_high,very_low,very_high,low,low,very_low,yes
alkaline,medium,very_low,medium,very_low,low,very_low,low,very_low,very_low,medium,low,yes
alkaline,low,medium,low,medium,low,very_low,low,very_low,medium,low,low,no
alkaline,very_low,medium,very_low,very_high,low,very_high,very_high,very_high,medium,very_low,very_high,yes
neutral,high,medium,high,medium,very_high,very_high,medium,very_high,medium,high,medium,no
alkaline,very_high,high,very_high,high,high,medium,high,medium,high,very_high,high,yes
alkaline,medium,low,medium,very_low,very_low,very_high,very_low,very_high,low,medium,very_low,yes
neutral,very_high,low,very_high,low,very_high,very_high,medium,very_high,low,very_high,medium,yes
alkaline,very_low,low,very_low,very_low,medium,high,very_high,high,low,very_low,very_high,yes
alkaline,very_low,low,very_low,low,low,very_low,low,very_low,low,very_low,low,yes
alkaline,high,high,high,medium,very_low,high,very_low,high,high,high,very_low,no
acidic,low,medium,low,medium,medium,very_low,medium,very_low,medium,low,medium,no
alkaline,very_high,high,very_high,medium,medium,low,very_high,low,high,very_high,very_high,yes
alkaline,high,very_low,high,high,low,high,very_high,high,very_low,high,very_high,yes
acidic,low,high,low,medium,very_low,low,very_low,low,high,low,very_low,no
alkaline,high,very_high,high,low,medium,low,very_high,low,very_high,high,very_high,yes
acidic,high,low,high,very_low,very_low,high,very_low,high,low,high,very_low,yes
alkaline,very_high,low,very_high,very_low,very_low,very_high,very_low,very_high,low,very_high,very_low,yes
alkaline,medium,very_low,medium,high,high,very_high,very_high,very_high,very_low,medium,very_high,yes
acidic,medium,very_low,medium,very_low,low,medium,low,medium,very_low,medium,low,yes
